Year,Bengali,Gujarati,Hindi,HindiUrdu,Kannada,Malayalam,Marathi,Punjabi,Tamil,Telugu,Urdu,Indian,French,German,Italian,Japanese,Spanish,Arabic,Chinese,Korean,Portuguese,Russian,Total,Total.Less.Spanish
2009,97,11,2207,639,3,19,9,465,97,47,335,3929,215954,96270,80672,73328,862688,35083,60311,8511,11371,26814,1474931,612243
2006,94,18,1946,393,2,18,0,103,100,16,344,3034,206079,94181,78091,66076,821654,23956,51286,7145,10267,24810,1386579,564925
2002,54,20,1430,427,2,20,2,99,114,3,152,2323,201979,91100,63899,52238,745127,10584,34153,5211,8385,23921,1238920,493793
1998,35,33,831,448,2,28,6,32,45,11,35,1506,199064,89013,49287,43141,656445,5505,28456,4479,6926,23791,1107613,451168
1995,49,0,694,263,0,30,2,42,55,9,88,1232,205351,96263,43760,44723,606286,4444,26471,3343,6531,24729,1063133,456847
1990,25,0,306,125,0,13,0,8,35,9,90,611,273116,133594,49824,45830,534143,3683,19427,2375,6118,44476,1113197,579054
1986,23,0,300,101,0,0,0,1,36,12,49,522,275132,120920,40904,23454,411376,3417,16891,875,5071,33945,932507,521131
1983,6,8,219,87,4,0,1,0,28,10,45,408,270101,128140,38672,16127,386320,3441,13178,660,4397,30453,891897,505577
1980,18,0,198,76,0,4,6,0,25,9,23,359,248303,127015,34793,11516,378952,3471,11366,365,4894,23987,845021,466069
1977,7,0,169,186,0,0,6,31,26,12,26,463,246244,135474,33294,10721,377172,3078,9798,163,4954,27960,849321,472149
1974,27,0,223,161,0,3,4,0,33,5,41,497,253135,152113,33048,9604,361911,2034,10576,87,5072,32522,860599,498688
1972,0,0,0,0,0,0,0,0,0,0,0,0,256063,155185,28267,0,283130,0,0,0,0,35507,758152,475022
1971,0,0,82,0,0,0,0,0,0,0,0,82,41665,25475,2469,760,57232,180,953,25,603,3445,132889,75657
1970,14,7,281,77,0,0,1,0,29,7,20,436,358494,201766,34236,6620,386617,1324,6115,101,5065,36369,1037143,650526
1969,19,0,87,88,0,4,5,0,41,8,10,262,45323,25686,2233,568,57209,126,685,13,314,3499,135918,78709
1968,18,0,213,136,1,0,1,0,23,7,19,418,386694,215883,30732,4322,363389,918,5061,70,4048,41280,1052815,689426
1965,18,0,144,104,3,1,1,0,38,6,17,332,371747,213909,22950,3505,310012,911,3359,82,3040,33818,963665,653653
1963,12,0,173,0,1,1,3,0,9,11,47,257,302140,183050,16871,2718,246039,835,2444,182,2051,33663,790250,544211
1961,12,0,168,0,0,0,1,0,4,7,7,199,243837,153935,12265,1976,183257,693,2200,190,1307,32703,632562,449305
1960,9,0,106,0,0,0,1,0,3,4,7,130,229640,146950,11084,1547,179892,499,598,168,1018,31122,602648,422756
1959,0,0,46,0,0,0,2,0,0,0,4,52,195785,130919,10354,1202,155344,441,891,25,754,26675,522442,367098
1958,0,0,23,0,0,0,0,0,0,0,3,26,157900,107870,9577,844,126303,364,615,26,582,16042,420149,293846
